id	prompt#0
1802.00209v1	"A4 portrait format, 1:sqrt(2) aspect ratio. A scientific diagram illustrating a Dual Recurrent Attention Unit for Visual Question Answering. On the left, a detailed image of a street scene with a red car and a blue bicycle. In the center, a neural network architecture diagram showing two distinct recurrent neural network modules, one processing visual features and the other processing textual question features. The visual RNN emits a dynamic, semi-transparent attention heatmap overlay (in warm reds and oranges) that highlights the car and bicycle in the image. The textual RNN emits a corresponding attention glow on the words ""red"" and ""bicycle"" from the question text displayed on the right. Between them, a rich joint embedding space"
1211.4524v1	A scientific visualization of multiple maneuvering aircraft being tracked by a Deformation Detection Particle Filter (DDPF) algorithm, showing a particle cloud swarm around each target, with particle density representing probability distribution, connected by predicted trajectories as glowing lines. A split-view composition: the left side shows a basic SIR-PF failing with a dispersed, inaccurate particle cloud as a jet performs a roll maneuver; the right side shows the DDPF successfully updating the target model, with a tight, accurate particle cloud adhering to the aircraft's new orientation. A color distribution model overlay highlights the target's shape in a thermal heatmap from blue to red, with a threshold indicator triggering model update. Clean, technical illustration style with a dark blue and gray background, focused
1612.00835v2	A4 portrait format, 1:sqrt(2) aspect ratio. A deep adversarial neural network architecture diagram, showing a user's sketch input of a car outline with sparse red and blue color scribbles on the left, feeding into a generator network visualized as interconnected nodes and layers. The output on the right is a photorealistic red car with a blue interior, seamlessly synthesized from the sketch and color constraints. The process is shown in a clean, technical illustration style with a split-view composition, using a cool blue and gray color palette for the network diagram contrasted with the vibrant, realistic output image. Arrows indicate the real-time, feed-forward data flow from input to final synthesized image.
1711.04965v1	"A4 portrait format, 1:sqrt(2) aspect ratio. A clean, academic scientific illustration depicting the core concept of near-optimal tensor completion. On the left, a partially observed, incomplete 3D cubic tensor with scattered missing entries shown as dark voids within a semi-transparent blue lattice structure. On the right, the completed low-rank tensor reconstructed via convex optimization, represented as a sum of rank-1 components visualized as intersecting, semi-transparent colored planes (red, green, yellow) within the cubic lattice. A central arrow connects the two states, labeled ""Convex Atomic-Norm / Max-Qnorm Minimization"". The background features a subtle, large-scale mathematical surface plot representing the sample complexity bound O(dN). Clean"
1702.02211v2	"A4 portrait format, 1:sqrt(2) aspect ratio. A clean, academic scientific illustration showing the unsupervised discovery of root-and-pattern morphology in Semitic languages. The central visual is a stylized, abstract representation of the Hebrew word ""ktobet"" (letter) decomposing into its root K-T-B and its morphological pattern C1-C2-o-C3-et, with the root consonants highlighted in gold and the pattern vowels and affixes in slate blue. To the right, a parallel decomposition of the Arabic word ""maktab"" (office) into root K-T-B and pattern ma-C1C2aC3. On the left, the Amharic word ""mäsobet"" (chair)"
1605.02817v2	A stark, minimalist diagram of a corrupted neural network architecture, showing deliberate misalignment of goal nodes and reward pathways, with red warning circuits overriding blue ethical constraints, visualized as a circuit board overlaid on a human silhouette, monochrome with strategic red accents, technical schematic style, clean lines, sharp focus, A4 portrait format, 1:sqrt(2) aspect ratio, representing the structural engineering of misaligned objectives in an artificial intelligence system
1409.2465v2	A4 portrait format, scientific visualization of computer vision feature detector comparison, showing two side-by-side image analysis pipelines: left side with classic repeatability criterion showing redundant overlapping keypoint detections as clustered red circles with high overlap, right side with corrected criterion showing non-redundant well-distributed keypoints as green circles with minimal overlap, both applied to the same textured planar surface under homography transformation, with mathematical overlay showing repeatability score formulas changing from biased to corrected version, clean technical illustration style with precise line work, neutral laboratory lighting, split-view composition with clear labeling, grayscale base image with strategic color coding for keypoints and formulas, academic diagram aesthetic suitable for computer vision publication
1707.05474v3	A4 portrait format, 1:sqrt(2) aspect ratio. A clean, high-resolution scientific diagram illustrating the APE-GAN defense mechanism against adversarial attacks. On the left, an input image of a digit or object is overlaid with a subtle, semi-transparent adversarial perturbation pattern in a malicious red hue. In the center, the APE-GAN architecture is shown as a simplified, elegant Generative Adversarial Network: a Generator neural network (labeled) processes the perturbed input, while a Discriminator network (labeled) evaluates it. A clear, focused beam of light or data stream flows from the Generator, actively stripping away and neutralizing the red perturbation pattern. On the right, the output is a restored, clean version
1507.04910v1	A4 portrait format, 1:sqrt(2) aspect ratio. A scientific diagram illustrating the stochastic multi-armed bandit problem with non-equivalent multiple plays. The central visual is a decision tree where each branching node represents a timestep. From a central agent node, multiple distinct arms (K arms) extend, each with a unique, partially revealed reward distribution shown as a translucent Gaussian curve overlay. At one timestep, the agent selects an ordered subset of arms (e.g., 3 arms), visualized by a highlighted path that chooses arms in a specific sequence (1st, 3rd, 2nd). The key concept is shown by the reward distributions for the selected arms subtly morphing or shifting based on their
1509.05636v1	A4 portrait format, 1:sqrt(2) aspect ratio. A scientific illustration depicting the Visual Roadmap (VRM) concept from robotics: a manifold $\mathcal{V}$ homeomorphic to a canonical C-space, represented as a smooth, curved 2D surface embedded in a 3D space of robot images. On the manifold, discrete sample points (nodes) are connected by edges to form a graph. Each node is associated with a small, rendered image of a robotic manipulator in a distinct pose. A new query image of a robot is shown projecting onto the manifold surface. The local neighbourhood around the projection point is highlighted, showing tangent spaces approximated as flat planes intersecting the manifold at nodes, with interpolation vectors visualized between nearby image
