0811.4413v6	A spectral algorithm diagram for learning Hidden Markov Models, showing a discrete time series of hidden states (circles in muted blue) transitioning to observed symbols (squares in warm orange), with a spectral decomposition matrix (SVD) represented as a grid of singular values in a heatmap from dark blue (low) to bright yellow (high), arrows indicating the flow from data to SVD to recovered transition and emission matrices, clean academic illustration style with precise line work on a white background, side-by-side composition showing the generative HMM process and the algorithmic spectral recovery steps, A4 portrait format, 1:sqrt(2) aspect ratio	A spectral algorithm for learning Hidden Markov Models, visualized as a three-step process: left panel shows a discrete time series of colored observation symbols (blue, green, red) emerging from a hidden state sequence (gray circles with internal letters A, B, C). Central panel features a large, clean singular value decomposition diagram: a tall, sparse observation matrix is decomposed into three matrices (U, Sigma, V^T) with highlighted singular values on the diagonal of Sigma, depicted as descending, glowing bars on a dark blue background. Right panel shows the final estimated HMM parameters as two clear, labeled matrices (transition and emission) with numerical probabilities. Clean, academic illustration style with a white background, precise vector graphics, and a cool, analytical color
1702.01970v1	A cross-section visualization of compressive sensing image reconstruction using data-matched wavelets, showing a grayscale test image (like 'cameraman' or 'lena') on the left, a sparse sampling grid using a partial canonical identity matrix in the center with measured pixels highlighted, and a reconstructed image using lifting-based separable matched wavelets on the right, with wavelet decomposition levels visualized as multi-level L-Pyramid overlays in semi-transparent blue and orange, arrows indicating the joint estimation and reconstruction flow, clean scientific diagram style with technical line art, precise labels for 'Sensing', 'Matched Wavelet Estimation', and 'Reconstruction', monochrome with accent colors for data flow, sharp focus, A4 portrait format, 1:sqrt	A4 portrait format, 1:sqrt(2) aspect ratio. Scientific visualization of a joint compressive sensing and matched wavelet estimation framework. On the left, a partial canonical identity sensing matrix (a sparse binary matrix with ones on a diagonal band) acquiring compressive measurements from a natural image, visualized as a sparse data vector. In the center, an iterative loop shows these measurements being used to jointly estimate a lifting-based, separable matched wavelet filter bank (visualized as a set of unique 2D wavelet kernels with varying patterns) and reconstruct the full image. On the right, the final reconstructed image emerges with high fidelity, juxtaposed against a multi-level L-Pyramid wavelet decomposition diagram showing improved directional subbands. A clean, technical illustration style
1712.02779v3	A4 portrait format, 1:sqrt(2) aspect ratio. A scientific diagram illustrating the adversarial vulnerability of a convolutional neural network (CNN) to simple geometric transformations. On the left, a clean input image of a panda is correctly classified. On the right, the same image has undergone a slight counter-clockwise rotation and a small horizontal translation, causing the CNN's classification output to change incorrectly to a gibbon. Arrows and labels clearly indicate the applied rotation angle and translation vector. The CNN architecture is shown schematically in the background with convolutional layers, pooling layers, and fully connected layers, with the final misclassified output logits highlighted in red. Clean, technical illustration style with a muted color palette of blues, grays,	A4 portrait format, 1:sqrt(2) aspect ratio. A scientific diagram showing a convolutional neural network (CNN) architecture being fooled by simple geometric transformations. On the left, a clean input image of a panda is correctly classified. In the center, the same image undergoes a subtle counter-clockwise rotation and a small horizontal translation, visualized with transformation grid lines and directional arrows. On the right, the transformed image is fed into the CNN, whose final softmax layer outputs an incorrect, high-confidence prediction for a gibbon. The CNN layers are shown as simplified feature maps with activation patterns. The adversarial transformation path is highlighted in a muted red, contrasting with the correct classification path in blue. Clean, technical illustration style with a
1612.02374v1	A4 portrait format, 1:sqrt(2) aspect ratio. A split-view scientific illustration showing the automatic detection of ADHD and ASD from expressive behaviour. On the left, a person is being recorded by an RGBD sensor (color and depth camera), with a faint overlay of a 3D facial mesh and skeletal pose points extracted in real-time. On the right, a dynamic deep learning neural network architecture processes the RGBD data streams, with layers visualizing the fusion of facial expression features (as heatmaps of facial action units) and 3D behavioural kinematics (as trajectories of movement). Arrows flow from the sensor data into the network, culminating in a final classification node branching into ADHD, ASD, and Control labels with high accuracy percentages	A sophisticated neural network architecture processing a 3D point cloud of a human figure, with facial expression heatmaps and skeletal joint movement vectors as input features, flowing into deep learning layers that bifurcate into ADHD and ASD classification nodes, visualized in a clean, technical illustration style with a cool analytical color palette of blues, purples, and grays, dynamic data streams highlighted in gold and orange, portrait orientation, A4 format, 1:sqrt(2) aspect ratio, sharp focus on the algorithmic processing of behavioral RGBD data.
1206.5248v1	A4 portrait format, 1:sqrt(2) aspect ratio, scientific visualization of a statistical manifold with embedded text data points, a heat kernel diffusion process represented as a glowing orange-to-blue Gaussian blur expanding from a central document node across a network graph, expected distances visualized as translucent geodesic arcs of varying lengths connecting nodes, the manifold surface rendered as a translucent, curved grid of probability distributions, dark background with precise mathematical notation for the heat equation floating subtly in the space, academic diagram style with clean lines and a colorbar legend for diffusion time, isometric perspective showing both the manifold curvature and the graph structure	A4 portrait format, 1:sqrt(2) aspect ratio. A scientific visualization of the connection between statistical translation, heat kernels, and expected distances for high-dimensional text data. A manifold representing a data space, with a heat kernel diffusion process visualized as a warm orange-to-red glow spreading from a source point, transforming the local geometry. This diffusion is mathematically linked via translucent equations to a statistical translation operation, depicted as parallel transport of a probability distribution (a blue histogram morphing into a smoother, green kernel density estimate) along a geodesic. The expected distance is shown as a calibrated ruler emerging from the diffusion field, measuring the transformed manifold. Clean, academic illustration style with a white background, precise line work, and a color palette of
1510.00203v1	Aerial view of a static surveillance scene with multiple pedestrian targets being tracked, showing particle filter distributions as translucent colored Gaussian blobs over each target, data association visualized as connecting lines between particle clusters and bounding box detections, state queues depicted as timeline ribbons below each tracked object with occlusion events shown as gaps in the ribbons, adaptive parameter adjustments visualized as dynamic particle density changes during occlusion, technical schematic style with clean lines and muted color palette (blues, grays, and accent yellows), split composition showing tracking visualization above and state queue timelines below, A4 portrait format, 1:sqrt(2) aspect ratio	A dynamic particle filter visualization showing multiple colored object tracks with Gaussian distributions in a static surveillance scene, data association connections as glowing lines between particle clouds and detected bounding boxes, state queues visualized as translucent history trails behind each track, adaptive parameter adjustment shown as particle density changing during occlusion events, occlusion recovery illustrated as re-emerging tracks from behind obstacles, technical schematic style with clean lines and muted color palette, top-down perspective with depth of field, A4 portrait format, 1:sqrt(2) aspect ratio, scientific visualization with labeled components: particle clouds, detection boxes, association links, and state queues
1704.07130v1	A4 portrait format, 1:sqrt(2) aspect ratio. A split-view scientific visualization of a symmetric collaborative dialogue system. On the left, two abstract humanoid figures face each other, their heads connected by a glowing, bidirectional dialogue stream containing floating words and question marks. On the right, a dynamic knowledge graph is shown, with nodes representing private information (some nodes glowing on each side) and edges thickening as new connections are formed. The graph's structure and the embedding vectors (depicted as shimmering, multi-dimensional halos around nodes) subtly shift and reconfigure between three sequential panels, illustrating temporal evolution. The overall style is a clean, modern academic illustration with a cool, analytical color palette of blues, grays, and	A4 portrait format, 1:sqrt(2) aspect ratio. A scientific diagram showing two abstract neural agents represented as glowing nodes, one blue and one orange, engaged in a symmetric collaborative dialogue. Between them, a dynamic knowledge graph is visualized, with its nodes and edges pulsing and shifting as embeddings evolve in real-time. The graph structure is overlaid with translucent streams of unstructured language data. The scene uses a clean, modern academic illustration style with a dark blue and gray background, focused on the central interaction. The composition is a balanced split-view highlighting the symmetry, with subtle directional lighting from above to create depth.
1701.05644v1	A complex factor graph visualization for rare disease physician targeting, showing probabilistic connections between physician nodes (blue circles with stethoscope icons) and patient nodes (orange circles with health icons) through latent variable factors (gray diamonds), with edge weights representing relationship strengths and highlighted target physicians glowing with golden halos, clean network diagram style with mathematical precision, overhead perspective showing interconnected healthcare data spaces, monochromatic blue and orange color scheme with gold accents, scientific information visualization aesthetic, A4 portrait format, 1:sqrt(2) aspect ratio	A factor graph visualization for rare disease physician targeting, showing bipartite connections between physician nodes (blue circles with stethoscope icons) and patient nodes (red circles with medical record icons), with latent factor nodes (golden diamonds) connecting clusters, edges weighted by prediction strength, medical data streams flowing as translucent ribbons between entities, clean network diagram style with mathematical precision, overhead perspective showing interconnected healthcare ecosystem, A4 portrait format, 1:sqrt(2) aspect ratio, scientific color palette of clinical blues, diagnostic reds, and analytical golds, subtle gradient background
1705.07348v2	A 3D visualization of a high-dimensional classification space with a translucent decision boundary hyperplane, points colored by classification confidence from red (low) to blue (high), a distinct thresholding contour isolating high-confidence points near the boundary, arrows indicating points being filtered out, clean scientific diagram style with a white background, subtle grid lines for spatial reference, focused overhead perspective, A4 portrait format, 1:sqrt(2) aspect ratio	A 3D visualization of a high-dimensional classification landscape with a clear decision boundary, showing data points as colored spheres (blue class, red class) with opacity indicating classification confidence, a translucent threshold plane hovering above the boundary to filter out low-confidence points near it, points below the plane are semi-transparent and grayed out, clean scientific diagram style with soft directional lighting, overhead perspective showing the planar threshold and the curved boundary below, A4 portrait format, 1:sqrt(2) aspect ratio
1303.0663v1	A4 portrait format, 1:sqrt(2) aspect ratio. A detailed scientific illustration of a Denoising Deep Neural Network for Voice Activity Detection. The left side shows a waveform of noisy speech entering the visible input layer. The central architecture is a deep neural network with multiple hidden layers, visualized as interconnected nodes. The connections from the noisy input to the first hidden layer are highlighted, representing the unsupervised denoising pre-training phase that reconstructs clean features. The right side outputs a clean speech waveform and a binary VAD decision timeline. Use a cool color palette of blues and purples for the network, with the noisy input in muted gray and the clean output in vibrant cyan. Arrows indicate the forward flow of denoised information	A4 portrait format, 1:sqrt(2) aspect ratio. Scientific visualization of a Denoising Deep Neural Network (DDNN) for Voice Activity Detection. A multi-layered neural network architecture with an input layer receiving a waveform of noisy speech signal, depicted as a jagged, chaotic line. The deep hidden layers process this signal, with denoising transformations visualized as a progressive filtering and cleaning effect. The output layer reconstructs a clean speech waveform, shown as a smooth, distinct wave pattern. Arrows indicate the flow of data and the supervised fine-tuning via back-propagation, illustrated with gradient-colored feedback loops. A split-view comparison shows the performance improvement of deep layers over shallower ones, using a bar chart overlay with ascending
