id	title	teacher_prompt	student_prompt	rougeL_score
0811.4413v6	A Spectral Algorithm for Learning Hidden Markov Models	A spectral algorithm diagram for learning Hidden Markov Models, showing a discrete time series of hidden states (circles in muted blue) transitioning to observed symbols (squares in warm orange), with a spectral decomposition matrix (SVD) represented as a grid of singular values in a heatmap from dark blue (low) to bright yellow (high), arrows indicating the flow from data to SVD to recovered transition and emission matrices, clean academic illustration style with precise line work on a white background, side-by-side composition showing the generative HMM process and the algorithmic spectral recovery steps, A4 portrait format, 1:sqrt(2) aspect ratio	A4 portrait format, scientific visualization of a Hidden Markov Model (HMM) learning algorithm, showing a discrete-time sequence of observations (words) flowing into a probabilistic state transition matrix, with the algorithm's spectral decomposition visualized as a singular value decomposition (SVD) of the HMM parameters, revealing latent states and observation probabilities, clean academic illustration style with precise line work and labeled components, cool color palette of blues and purples for the data flow, warm yellows and oranges for the algorithm's spectral components, split-view composition showing the input sequence on the left and the algorithm's output on the right, with mathematical notation for the separation condition floating in the background.	0.3178
1702.01970v1	Image Reconstruction using Matched Wavelet Estimated from Data Sensed Compressively using Partial Canonical Identity Matrix	A cross-section visualization of compressive sensing image reconstruction using data-matched wavelets, showing a grayscale test image (like 'cameraman' or 'lena') on the left, a sparse sampling grid using a partial canonical identity matrix in the center with measured pixels highlighted, and a reconstructed image using lifting-based separable matched wavelets on the right, with wavelet decomposition levels visualized as multi-level L-Pyramid overlays in semi-transparent blue and orange, arrows indicating the joint estimation and reconstruction flow, clean scientific diagram style with technical line art, precise labels for 'Sensing', 'Matched Wavelet Estimation', and 'Reconstruction', monochrome with accent colors for data flow, sharp focus, A4 portrait format, 1:sqrt	A4 portrait format, 1:sqrt(2) aspect ratio. Scientific visualization of a joint framework for compressive sensing and image reconstruction. A 3D schematic of a lifting-based, separable wavelet decomposition tree, with nodes representing image patches and edges showing inter-scale and inter-band connections. The wavelet coefficients are visualized as a multi-level L-Pyramid decomposition, with each level showing a different color-coded activation pattern (blue for low-frequency, warm red for high-frequency). The compressively sensed data is shown as a sparse, low-resolution image patch with a partial canonical identity matrix overlay, with golden energy streams representing the estimation of the matched wavelet from the CS data. The reconstruction is shown as a full, high-resolution image patch emerging from the wavelet decomposition tree, with a clean, academic illustration style using a muted color palette of blues, grays, and warm reds.	0.2188
1712.02779v3	A Rotation and a Translation Suffice: Fooling CNNs with Simple Transformations	A4 portrait format, 1:sqrt(2) aspect ratio. A scientific diagram illustrating the adversarial vulnerability of a convolutional neural network (CNN) to simple geometric transformations. On the left, a clean input image of a panda is correctly classified. On the right, the same image has undergone a slight counter-clockwise rotation and a small horizontal translation, causing the CNN's classification output to change incorrectly to a gibbon. Arrows and labels clearly indicate the applied rotation angle and translation vector. The CNN architecture is shown schematically in the background with convolutional layers, pooling layers, and fully connected layers, with the final misclassified output logits highlighted in red. Clean, technical illustration style with a muted color palette of blues, grays,	A4 portrait format, scientific visualization of a 3D convolutional neural network (CNN) architecture being perturbed by a simple geometric transformation, a 2D grid of input pixels being rotated and translated to create a misaligned feature map, activation patterns visualized as a heatmap overlay with warm reds and cool blues, neural connections shown as glowing lines, clean and precise academic illustration style with sharp edges and subtle volumetric lighting, split-view composition showing the original input on the left and the perturbed feature map on the right, technical diagram aesthetic with precise labels and a muted color palette of grays, blues, and reds.	0.3077
1612.02374v1	Automatic Detection of ADHD and ASD from Expressive Behaviour in RGBD Data	A4 portrait format, 1:sqrt(2) aspect ratio. A split-view scientific illustration showing the automatic detection of ADHD and ASD from expressive behaviour. On the left, a person is being recorded by an RGBD sensor (color and depth camera), with a faint overlay of a 3D facial mesh and skeletal pose points extracted in real-time. On the right, a dynamic deep learning neural network architecture processes the RGBD data streams, with layers visualizing the fusion of facial expression features (as heatmaps of facial action units) and 3D behavioural kinematics (as trajectories of movement). Arrows flow from the sensor data into the network, culminating in a final classification node branching into ADHD, ASD, and Control labels with high accuracy percentages	"A4 portrait format, 1:sqrt(2) aspect ratio. A detailed scientific visualization of a human brain's neural activity being analyzed by a deep learning convolutional neural network (CNN). The left side shows a translucent brain model with glowing neural pathways, overlaid with a heatmap of activation patterns in warm reds and cool blues. The right side shows the CNN architecture, with convolutional and pooling layers, processing the brain data. A central split-view shows the RGBD sensor data (color and depth) being input into the network, with the final classification output ""ADHD/ASD"" displayed. Clean, academic illustration style with precise linework, subtle volumetric lighting, and a muted color palette of blues, grays, and accent reds."	0.2954
1206.5248v1	Statistical Translation, Heat Kernels and Expected Distances	A4 portrait format, 1:sqrt(2) aspect ratio, scientific visualization of a statistical manifold with embedded text data points, a heat kernel diffusion process represented as a glowing orange-to-blue Gaussian blur expanding from a central document node across a network graph, expected distances visualized as translucent geodesic arcs of varying lengths connecting nodes, the manifold surface rendered as a translucent, curved grid of probability distributions, dark background with precise mathematical notation for the heat equation floating subtly in the space, academic diagram style with clean lines and a colorbar legend for diffusion time, isometric perspective showing both the manifold curvature and the graph structure	A4 portrait format, 1:sqrt(2) aspect ratio. Scientific visualization of a high-dimensional manifold of text documents, represented as a smooth, curved surface embedded in a 3D space. The manifold is colored with a gradient from cool blue (low similarity) to warm red (high similarity), with heat kernel diffusion visualized as a shimmering, translucent energy field flowing across the surface. Overlaid on the manifold are translucent, glowing statistical translation pathways, depicted as shimmering lines of light connecting similar documents. The composition is a split-view: the left side shows the abstract manifold with heat kernel diffusion, while the right side shows a detailed, magnified view of a single document's local neighborhood, with expected distances between documents visualized as precise, measured line segments. Style is a precise,	0.2735
1510.00203v1	Data Association for an Adaptive Multi-target Particle Filter Tracking System	Aerial view of a static surveillance scene with multiple pedestrian targets being tracked, showing particle filter distributions as translucent colored Gaussian blobs over each target, data association visualized as connecting lines between particle clusters and bounding box detections, state queues depicted as timeline ribbons below each tracked object with occlusion events shown as gaps in the ribbons, adaptive parameter adjustments visualized as dynamic particle density changes during occlusion, technical schematic style with clean lines and muted color palette (blues, grays, and accent yellows), split composition showing tracking visualization above and state queue timelines below, A4 portrait format, 1:sqrt(2) aspect ratio	A4 portrait format, scientific visualization of a multi-target particle filter tracking system with data association step, showing a static scene with multiple detected objects (red bounding boxes) and their corresponding particle filter approximations (blue translucent clouds of particles), with data association connections visualized as glowing golden lines linking detected objects to their particle clouds, state queues depicted as vertical stacks of colored data packets for each tracked object, adaptive parameter adjustments shown as dynamic golden gears and sliders, clean technical illustration style with precise linework and subtle gradients, split-view composition showing the system architecture on the left and performance evaluation metrics (e.g. accuracy, occlusion recovery) on the right, cool blue and warm red color palette with strategic use of gold for data flow and connections	0.3043
1704.07130v1	Learning Symmetric Collaborative Dialogue Agents with Dynamic Knowledge Graph Embeddings	A4 portrait format, 1:sqrt(2) aspect ratio. A split-view scientific visualization of a symmetric collaborative dialogue system. On the left, two abstract humanoid figures face each other, their heads connected by a glowing, bidirectional dialogue stream containing floating words and question marks. On the right, a dynamic knowledge graph is shown, with nodes representing private information (some nodes glowing on each side) and edges thickening as new connections are formed. The graph's structure and the embedding vectors (depicted as shimmering, multi-dimensional halos around nodes) subtly shift and reconfigure between three sequential panels, illustrating temporal evolution. The overall style is a clean, modern academic illustration with a cool, analytical color palette of blues, grays, and	A4 portrait format, 1:sqrt(2) aspect ratio. Scientific visualization of a symmetric collaborative dialogue system with dynamic knowledge graph embeddings. Two distinct neural network agents, each with a private knowledge graph represented as interconnected nodes and edges, engage in a strategic dialogue. The dialogue state is visualized as a dynamic, evolving network of interlocking knowledge graphs, with information flow depicted as shimmering golden pathways and data streams. The style is a clean, modern scientific illustration with a cool color palette of blues, purples, and silvers, using precise vector graphics and subtle gradients to represent data density and flow. The composition is a split-view diagram, with the left agent's knowledge graph on the left and the right agent's on the right, connected by the central dialogue state network.	0.3695
1701.05644v1	Rare Disease Physician Targeting: A Factor Graph Approach	A complex factor graph visualization for rare disease physician targeting, showing probabilistic connections between physician nodes (blue circles with stethoscope icons) and patient nodes (orange circles with health icons) through latent variable factors (gray diamonds), with edge weights representing relationship strengths and highlighted target physicians glowing with golden halos, clean network diagram style with mathematical precision, overhead perspective showing interconnected healthcare data spaces, monochromatic blue and orange color scheme with gold accents, scientific information visualization aesthetic, A4 portrait format, 1:sqrt(2) aspect ratio	A4 portrait format, scientific visualization of a factor graph model for rare disease physician targeting, showing a network of interconnected nodes representing physicians and patients, with edges weighted by joint probability distributions, nodes colored by predicted target status (blue for likely target, gray for non-target), edges visualized as translucent tubes with gradient opacity indicating strength of relational dependency, clean white background with subtle grid lines, academic illustration style with precise linework and minimal shading, split-view composition showing both the graphical model structure and a corresponding scatter plot of physician and patient feature vectors, using a cool color palette of blues and grays with accent colors for key nodes and edges	0.2653
1705.07348v2	Calibrating Black Box Classification Models through the Thresholding Method	A 3D visualization of a high-dimensional classification space with a translucent decision boundary hyperplane, points colored by classification confidence from red (low) to blue (high), a distinct thresholding contour isolating high-confidence points near the boundary, arrows indicating points being filtered out, clean scientific diagram style with a white background, subtle grid lines for spatial reference, focused overhead perspective, A4 portrait format, 1:sqrt(2) aspect ratio	A4 portrait format, scientific visualization of a high-dimensional classification problem, showing a complex data cloud with points near the decision boundary highlighted in warm red and orange, while points with strong signals are classified and shown in cool blue, with a translucent overlay of a neural network architecture and a mathematical threshold function, clean and precise academic illustration style with a muted color palette of blues, grays, and accent reds, sharp focus on the decision boundary and classification regions, no decorative elements, accurate representation of the statistical concept of thresholding for loss function control.	0.2209
1303.0663v1	Denoising Deep Neural Networks Based Voice Activity Detection	A4 portrait format, 1:sqrt(2) aspect ratio. A detailed scientific illustration of a Denoising Deep Neural Network for Voice Activity Detection. The left side shows a waveform of noisy speech entering the visible input layer. The central architecture is a deep neural network with multiple hidden layers, visualized as interconnected nodes. The connections from the noisy input to the first hidden layer are highlighted, representing the unsupervised denoising pre-training phase that reconstructs clean features. The right side outputs a clean speech waveform and a binary VAD decision timeline. Use a cool color palette of blues and purples for the network, with the noisy input in muted gray and the clean output in vibrant cyan. Arrows indicate the forward flow of denoised information	A4 portrait format, 1:sqrt(2) aspect ratio. Scientific visualization of a denoising deep neural network for voice activity detection. A deep neural network architecture with multiple hidden layers, showing a pre-training phase where noisy speech waveforms are fed into the visible layer, and a fine-tuning phase where clean speech waveforms are used as the target. The network's internal representations are visualized as a series of feature maps, with the deep layers (L6, L7) showing more complex, structured patterns compared to the shallower layers. The reconstruction loss is depicted as a converging energy landscape, with the final clean speech signal emerging. A split-view composition shows the network architecture on the left and the corresponding feature map evolution on the right.	0.371
