id	prompt#0	prompt#1
1712.07512v1	A4 portrait format, 1:sqrt(2) aspect ratio. A conceptual split-view scientific illustration. Left side: A clean, precise diagram of a forensic linguistics methodology, showing a text document with transparent overlays of spectral analysis and stylometric feature extraction, rendered in cool, analytical blues and grays. Right side: The same linguistic data points and analysis vectors are fed into a complex, opaque neural network architecture, with outputs branching into a courtroom gavel and a prison cell icon, rendered in ominous red and black tones. A clear, fractured barrier separates the two sides, symbolizing the breach of ethical and scientific boundaries. The lighting is stark, clinical, and interrogative, with sharp shadows, in a detailed academic illustration style.	A4 portrait format, 1:sqrt(2) aspect ratio. A conceptual split-view diagram contrasting ethical and questionable uses of forensic linguistics in NLP. On the left, a clean, transparent flow chart: a text document analyzed by a stylometric model, with clear, labeled data pathways, green checkmarks, and a balanced scale icon, all under a beam of warm, natural light. On the right, a corrupted mirror: the same text document fed into a black-box neural network, outputting a biased 'author profile' that feeds into a courtroom gavel icon, with the data flow obscured by red warning symbols and shadows. The two sides are separated by a cracked glass pane labeled 'Ethical Breach'. Style is a precise,
1410.6095v1	A4 portrait format, 1:sqrt(2) aspect ratio. A scientific visualization of a power grid topology being inferred from a matrix of spatio-temporal energy prices. On the left, a dynamic heatmap matrix representing the online price data over time, with warm colors indicating high prices and cool colors indicating low prices. From this matrix, a factorization process extracts a sparse matrix and the inverse of the grid Laplacian matrix. On the right, the recovered electrical grid topology is visualized as a network graph of 30 buses (nodes) and transmission lines (edges), with power flow indicated by subtle glowing lines. The style is a clean, modern scientific illustration with a dark background, using a color palette of electric blues, oranges, and yell	A4 portrait format, 1:sqrt(2) aspect ratio. A scientific visualization of a power grid topology being inferred from a matrix of spatio-temporal energy prices. The scene is split into two main panels. On the left, a dense, colorful heatmap representing the online energy price matrix, with rows as grid buses and columns as time intervals, showing price fluctuations. From this matrix, mathematical factorization is visualized as the matrix decomposing into two constituent matrices: one representing the inverse of the grid Laplacian (a sparse, structured matrix with a network pattern) multiplied by a sparse matrix. On the right, the inferred electrical grid topology materializes from this decomposition, shown as a graph of interconnected nodes (buses) and lines (
cs/0610041v1	A computational model of spatial memory updating during saccadic eye movements, showing a human brain diagram with highlighted hippocampus and prefrontal cortex regions, connected to a 3D grid representing spatial memory, with eye movement vectors shifting the grid coordinates, visual perception updating as a dynamic heatmap overlay, cool analytical color palette of blues and purples with warm orange for active regions, clean scientific visualization style with labeled anatomical and computational components, split composition showing biological systems on left and computational model on right, A4 portrait format, 1:sqrt(2) aspect ratio	A computational model of spatial memory updating during visual search, showing a 3D brain diagram with hippocampus and prefrontal cortex highlighted, connected to a schematic eye movement model, with spatial memory represented as a dynamic grid overlay on a visual scene, anticipation shown as predictive arrows updating grid coordinates, neural connections glowing with activity, scientific visualization style with clean lines and transparent layers, split composition showing biological systems and computational model side-by-side, cool analytical color palette of blues and purples with warm orange for predictive elements, A4 portrait format, 1:sqrt(2) aspect ratio
1701.03974v2	A dynamic network graph with nodes as convex sets and edges as data flow channels, visualized as glowing pathways with varying bandwidth thickness, overlaid with a continuous-time regret bound curve descending asymptotically towards zero, constraint violations shown as transient red pulses that diminish over the timeline, saddle-point optimization surface depicted as a three-dimensional manifold with a converging trajectory, using a clean scientific diagram style with a cool color palette of blues, purples, and grays, split-view composition showing the network topology and the convergence metrics side-by-side, A4 portrait format, 1:sqrt(2) aspect ratio.	A4 portrait format, 1:sqrt(2) aspect ratio. A dynamic network graph with nodes as compute resources and edges as data flows, visualized as a three-dimensional, translucent mesh. Overlaid on this network is a converging sequence of convex optimization trajectories, represented as glowing, colored paths (blue for regret, red for constraint violations) that narrow towards an optimal point. The background is a dark, gradient field of a high-dimensional loss function landscape. The style is a clean, technical 3D scientific visualization with matte surfaces, precise edges, and analytical lighting to highlight the saddle-point geometry and the online decision sequence.
cmp-lg/9405020v2	"A4 portrait format, 1:sqrt(2) aspect ratio. A scientific diagram illustrating the relationship between Context-Free Grammars (CFGs) and Tree Adjoining Grammars (TAGs). On the left, a classic parse tree representing a CFG, rendered in clean blue lines and nodes. On the right, a more complex TAG derivation tree with adjoining operations, shown in warm amber and red lines, with a highlighted ""lexicalized"" elementary tree as a core component. A central, cubic frame labeled ""Cubic-Time Parsable"" encloses a simplified parsing chart. A dashed arrow flows from the CFG tree into the TAG tree, symbolizing lexicalization and the defined decidable class. The background is a subtle grid"	A4 portrait format, scientific visualization of a Tree Adjoining Grammar (TAG) structure generating a context-free language, showing a central parse tree with adjoining operations, where elementary trees are depicted as distinct, modular components with solid black branches and labeled nodes (NP, VP, S), adjoining sites marked by dotted-line substitution or foot nodes, a flow diagram illustrating the cubic-time parsing algorithm with complexity O(n³) visualized as a translucent cube overlaying the derivation, a side-by-side comparison showing the less restrictive form of this TAG class versus a more constrained Linear Context-Free Rewriting Grammar (LCFG) schematic, all in a clean academic illustration style with a muted color palette of slate blue, forest green, and charcoal gray on a white background,
cs/9701101v1	A scientific illustration of three heterogeneous distance functions (HVDM, IVDM, WVDM) processing a mixed dataset, showing continuous attributes as smooth gradient fields and nominal attributes as distinct colored clusters, with distance metrics visualized as translucent geometric surfaces connecting data points, a clean and precise digital illustration style with a muted academic color palette of blues, grays, and soft yellows, a central three-panel diagram layout with mathematical notation, A4 portrait format, 1:sqrt(2) aspect ratio.	A4 portrait format, scientific diagram illustrating the concept of heterogeneous distance functions for machine learning, showing a high-dimensional feature space with both continuous numerical axes and discrete nominal attribute clusters, data points color-coded by class with varying opacity to represent distance weighting, continuous attributes visualized as smooth gradients and measured distances with clean connecting lines, nominal attributes represented as distinct categorical regions with probabilistic overlap boundaries, a central data point with a highlighted neighborhood defined by the hybrid HVDM metric blending both distance types, clean minimalist aesthetic with a muted color palette of blues, grays, and accent yellows for emphasis, technical illustration style with precise labels and subtle grid lines, top-down orthogonal perspective on the data manifold.
1802.03793v1	A detailed scientific illustration in portrait A4 format (1:sqrt(2) aspect ratio), showing a conceptual validation framework for biomedical hypothesis generation. The scene features a central, multi-layered network graph representing a knowledge base of published papers (nodes as documents, edges as citations). From this network, a highlighted pathway emerges, representing a generated hypothesis connecting two distant biomedical concepts (e.g., a gene and a disease). This pathway is being evaluated by a superimposed analytical framework: a series of transparent, overlaying metric panels (precision, recall, novelty scores visualized as bar charts and heatmaps) automatically assessing the hypothesis. The background shows a subtle grid of topic clusters, color-coded to drive a ranking system. Style is a clean, modern academic	A4 portrait format, scientific illustration depicting the validation of a biomedical hypothesis generation system, showing a network graph of published papers as interconnected nodes with citation links, a central automated system (MOLIERE) analyzing the graph and generating new hypothesis connections visualized as glowing, validated pathways, with a split-view composition contrasting expert manual validation (slow, small-scale) against the novel automated validation method (scalable, large dataset), using a cool color palette of blues and purples for the literature network, warm gold and green for validated hypothesis streams, clean infographic style with precise labels, technical lighting highlighting the algorithmic process.
1608.06315v1	A4 portrait format, 1:sqrt(2) aspect ratio. Scientific illustration of the LFADS (Latent Factor Analysis via Dynamical Systems) model architecture. A variational autoencoder framework processes high-dimensional neural spike raster data (left panel, black ticks on a grid) through an encoder RNN. The model infers a low-dimensional latent dynamical system, visualized as smooth, intertwined trajectories of latent factors flowing through a 3D space (center). These dynamics generate denoised firing rate estimates for individual neurons (right panel, smooth orange traces overlaid on a faint raster background). Arrows indicate the flow of information: from spikes to latent initial conditions and inputs, through the dynamical system, to reconstructed rates. Clean, technical drawing style	A4 portrait format, scientific illustration of Latent Factor Analysis via Dynamical Systems (LFADS) architecture, showing a variational auto-encoder processing high-dimensional neural spiking data, with observed spike trains from hundreds of neurons on the left flowing into the encoder, a compressed low-dimensional latent space in the center with smooth temporal factors and per-trial initial conditions visualized as trajectories in a dynamical system, and the decoder reconstructing inferred firing rates on the right, using a cool color palette of blues and purples for data and warm oranges for latent dynamics, clean lines and semi-transparent layers to show information flow, technical schematic style with mathematical notation for distributions, side view with a clear left-to-right data processing pipeline, sharp focus, studio lighting, white
1212.1180v1	"A4 portrait format, 1:sqrt(2) aspect ratio. A conceptual scientific diagram illustrating the unification of continuous inference methods. Central node labeled ""Inference"" splits into two major streams: ""A Priori Information (Prior Knowledge)"" and ""A Posteriori Information (Data)"". From these, five distinct algorithmic branches emerge: ""Neural Networks"", ""Information-Based Complexity"", ""Monte Carlo Methods"", ""Spline Methods"", and ""Regularization Methods"". All branches converge into a single ""Optimization Functional"" represented as a mathematical integral being minimized. Use a clean, abstract, information-theoretic style with a muted color palette of slate blue, charcoal gray, and soft teal. Visualize information flow with translucent arrows and connections."	"A4 portrait format, 1:sqrt(2) aspect ratio. A conceptual scientific diagram illustrating a unified framework for continuous inference methods. The central visual is a large, transparent 3D cube representing the space of all possible algorithms. Inside, distinct but interconnected pathways glow with different colors: a deep blue neural network architecture, a golden Monte Carlo particle cloud, a red regularization functional landscape, and a green spline curve. These pathways all converge towards a single, bright white optimal point. The left side of the cube is labeled ""A Priori Information"" with a subtle, structured background pattern. The right side is labeled ""A Posteriori Information"" with a scatter plot of data points. An arrow of light flows from left to right,"
1603.03149v1	A4 portrait format, 1:sqrt(2) aspect ratio. A split-view scientific illustration showing the real-time error detection process in metal arc welding using Artificial Neural Networks. On the left, a detailed cross-section of a welding arc in progress, with molten metal pool and electrode, overlaid with a transparent graph plotting the real-time electrical parameter time-series data (voltage, current) being collected by a high-speed data acquisition system. The data stream flows into the right side of the image, where it is processed: first through a filtering stage removing noisy signal components, visualized as a cleaner waveform. This clean data feeds into a Self-Organizing Map (SOM) clustering algorithm, depicted as a 2D hexagonal grid of neurons	A4 portrait format, 1:sqrt(2) aspect ratio. A split-view scientific illustration showing the real-time error detection system for metal arc welding. On the left, a detailed cross-section of a welding arc in progress, with molten metal pool and electrode, overlaid with a stylized, clean time-series graph of electrical parameters (voltage/current) being collected by data acquisition probes. On the right, a flow diagram visualizes the data processing: raw noisy signal enters a filter module, becoming a smooth waveform, which feeds into a Self-Organizing Map (SOM) neural network depicted as a hexagonal grid of nodes clustering similar waveform patterns into distinct colored regions (blue for desirable, red for undesirable error patterns). These classified
1506.02344v2	A directed acyclic graph (DAG) with p nodes, a highlighted path of active vertices glowing with warm orange activation, sparse principal component loading values visualized as vertical bars atop the nodes, empirical covariance matrix as a translucent heatmap in the background with cool blue low values and warm red high values, arrows indicating directionality along edges, clean network diagram with mathematical precision, scientific illustration style for a statistics/machine learning journal, overhead orthogonal perspective showing the graph structure clearly, A4 portrait format, 1:sqrt(2) aspect ratio	A directed acyclic graph (DAG) with p vertices, a highlighted path of active nodes glowing with warm orange activation, connected by edges showing data flow, overlaid with a translucent 3D surface plot of a spiked covariance matrix, eigenvectors visualized as geometric arrows piercing the surface, a clean scientific diagram style with precise line work and soft shadows, monochromatic blue-gray background with accent colors for the path and eigenvectors, top-down orthogonal perspective combined with an isometric graph view, A4 portrait format, 1:sqrt(2) aspect ratio
cs/0201024v1	A4 portrait format, 1:sqrt(2) aspect ratio. A scientific visualization of a genetic algorithm optimizing statistical quality control procedures. A central 3D plot shows a complex, rugged fitness landscape representing the objective function, with peaks indicating high-performing QC procedures. Overlaid on this landscape, a population of candidate QC procedures, visualized as abstract geometric shapes or molecular-like structures, evolves across generations. Arrows trace their migration across the parameter space towards the optimal peak. A split-view inset shows a clinical laboratory analyzer with a control chart, where the algorithmically designed QC rule (e.g., multi-rule Westgard) is applied, highlighting low false rejection (green data points) and high error detection (red outlier flags). The style is	A4 portrait format, scientific illustration of a genetic algorithm optimizing statistical quality control procedures, showing a flowchart where a DNA-like double helix labeled with QC parameters (n, k, rules) evolves through selection, crossover, and mutation stages, converging into an optimal QC chart on the right, with the chart displaying a Levey-Jennings plot with control limits and a process mean shift being detected, background features a subtle grid representing the large parameter search space, color palette of cool blues for the algorithm flow and warm reds/yellows for the QC chart alert signals, clean lines, technical drawing style, side-by-side composition illustrating the computational design process leading to the analytical output, sharp focus, studio lighting, no decorative elements
1711.04069v1	A4 portrait format, 1:sqrt(2) aspect ratio. A conceptual scientific illustration showing the derivation of an ECDSA key pair from a deep learning embedding. On the left, a 3D abstract neural network generates a dense vector embedding, visualized as a glowing, multi-colored point cloud or manifold. A clear, directed pathway connects this to the center, where a mathematical transformation occurs, symbolized by elegant algorithmic notation. On the right, the output is a Bitcoin blockchain structure: a stylized, secure chain of blocks, with one block prominently featuring a derived public address (a string starting with '1' or 'bc1'). The overall style is a clean, modern academic diagram with a blue and teal color palette, using	A4 portrait format, 1:sqrt(2) aspect ratio. A conceptual scientific visualization showing the derivation of an ECDSA key pair from a deep learning embedding. On the left, a 3D abstract neural network generates a dense vector embedding, visualized as a glowing, intricate lattice of interconnected nodes. A clear data pathway connects this lattice to a mathematical transformation module in the center. This module outputs a private key, depicted as a complex, secure alphanumeric string. From this, a public key is derived, visualized as a point on a translucent, glowing elliptic curve graph on the right. From the public key, a Bitcoin address (a string starting with '1' or 'bc1') is generated. The style is a
